canonical_name,category,natural_source,flavour_molecule_count,source_coverage,quality_score,analysis_status,analysis_notes,metadata
basil,herb,ocimum,210,5,0.924,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":3257,""kaggle_recipe_count"":282,""world_recipe_count"":3,""usda_exact_name_matches"":31},""seed_version"":""v1""}"
cheddar cheese,dairy,cattle,148,5,0.919,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":372,""kaggle_recipe_count"":424,""world_recipe_count"":1,""usda_exact_name_matches"":259},""seed_version"":""v1""}"
salt,additive,,4,5,0.903,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":22444,""kaggle_recipe_count"":18048,""world_recipe_count"":39,""usda_exact_name_matches"":117},""seed_version"":""v1""}"
feta cheese,dairy,sheep,116,5,0.902,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":116,""kaggle_recipe_count"":268,""world_recipe_count"":1,""usda_exact_name_matches"":57},""seed_version"":""v1""}"
green beans,vegetable,phaseolus vulgaris,189,5,0.900,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":3,""kaggle_recipe_count"":341,""world_recipe_count"":1,""usda_exact_name_matches"":272},""seed_version"":""v1""}"
pasta,bakery,durum,95,5,0.899,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":1280,""kaggle_recipe_count"":321,""world_recipe_count"":2,""usda_exact_name_matches"":39},""seed_version"":""v1""}"
peas,legume,pisum sativum,169,5,0.895,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":3,""kaggle_recipe_count"":193,""world_recipe_count"":3,""usda_exact_name_matches"":55},""seed_version"":""v1""}"
ginger,spice,zingiber,251,5,0.884,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":3846,""kaggle_recipe_count"":1755,""world_recipe_count"":18,""usda_exact_name_matches"":21},""seed_version"":""v1""}"
parsley,spice,petroselinum,167,5,0.884,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":5706,""kaggle_recipe_count"":345,""world_recipe_count"":12,""usda_exact_name_matches"":21},""seed_version"":""v1""}"
canola oil,essential oil,brassicaceae,153,4,0.883,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":1455,""kaggle_recipe_count"":1223,""world_recipe_count"":0,""usda_exact_name_matches"":539},""seed_version"":""v1""}"
cinnamon,spice,cinnamomum,183,5,0.880,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":3959,""kaggle_recipe_count"":696,""world_recipe_count"":7,""usda_exact_name_matches"":20},""seed_version"":""v1""}"
thyme,herb,thymus,174,5,0.864,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":3321,""kaggle_recipe_count"":361,""world_recipe_count"":14,""usda_exact_name_matches"":16},""seed_version"":""v1""}"
oregano,spice,origanum vulgare,193,5,0.860,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":2674,""kaggle_recipe_count"":440,""world_recipe_count"":7,""usda_exact_name_matches"":15},""seed_version"":""v1""}"
pepper,spice,piper,223,5,0.860,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":20053,""kaggle_recipe_count"":4438,""world_recipe_count"":22,""usda_exact_name_matches"":15},""seed_version"":""v1""}"
mango,fruit,mangifera,238,4,0.859,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":987,""kaggle_recipe_count"":268,""world_recipe_count"":0,""usda_exact_name_matches"":55},""seed_version"":""v1""}"
kidney beans,legume,phaseolus vulgaris,91,5,0.845,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":1,""kaggle_recipe_count"":159,""world_recipe_count"":3,""usda_exact_name_matches"":67},""seed_version"":""v1""}"
pineapple,fruit,ananas,220,5,0.842,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":915,""kaggle_recipe_count"":120,""world_recipe_count"":1,""usda_exact_name_matches"":39},""seed_version"":""v1""}"
rosemary,herb,rosmarinus,207,5,0.834,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":1430,""kaggle_recipe_count"":107,""world_recipe_count"":3,""usda_exact_name_matches"":33},""seed_version"":""v1""}"
celery,spice,apium,217,5,0.832,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":2952,""kaggle_recipe_count"":837,""world_recipe_count"":8,""usda_exact_name_matches"":8},""seed_version"":""v1""}"
mozzarella cheese,dairy,italian buffalo,120,4,0.831,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":412,""kaggle_recipe_count"":467,""world_recipe_count"":0,""usda_exact_name_matches"":268},""seed_version"":""v1""}"
water,additive,,4,5,0.831,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":10867,""kaggle_recipe_count"":7457,""world_recipe_count"":10,""usda_exact_name_matches"":32},""seed_version"":""v1""}"
cauliflower,cabbage,brassica oleracea,125,4,0.827,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":332,""kaggle_recipe_count"":221,""world_recipe_count"":0,""usda_exact_name_matches"":87},""seed_version"":""v1""}"
orange,fruit,citrus,245,5,0.820,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":3287,""kaggle_recipe_count"":355,""world_recipe_count"":2,""usda_exact_name_matches"":5},""seed_version"":""v1""}"
lemon,fruit citrus,citrus,193,5,0.816,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":4787,""kaggle_recipe_count"":1218,""world_recipe_count"":1,""usda_exact_name_matches"":4},""seed_version"":""v1""}"
vegetable oil,additive,,4,4,0.813,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":5822,""kaggle_recipe_count"":4385,""world_recipe_count"":40,""usda_exact_name_matches"":563},""seed_version"":""v1""}"
asparagus,vegetable stem,asparagus,168,4,0.810,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":7,""kaggle_recipe_count"":230,""world_recipe_count"":0,""usda_exact_name_matches"":59},""seed_version"":""v1""}"
buttermilk,dairy,cattle,16,5,0.809,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":1919,""kaggle_recipe_count"":863,""world_recipe_count"":2,""usda_exact_name_matches"":25},""seed_version"":""v1""}"
mint,herb,lamiaceae,162,5,0.809,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":1693,""kaggle_recipe_count"":163,""world_recipe_count"":6,""usda_exact_name_matches"":13},""seed_version"":""v1""}"
cream cheese,dairy,cattle,116,4,0.807,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":3,""kaggle_recipe_count"":562,""world_recipe_count"":0,""usda_exact_name_matches"":245},""seed_version"":""v1""}"
lentils,legume,lens,103,5,0.801,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":1,""kaggle_recipe_count"":87,""world_recipe_count"":3,""usda_exact_name_matches"":241},""seed_version"":""v1""}"
coriander,herb,coriandrum sativum,196,5,0.800,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":2045,""kaggle_recipe_count"":458,""world_recipe_count"":3,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
cumin,spice,cuminum,149,5,0.800,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":4621,""kaggle_recipe_count"":953,""world_recipe_count"":9,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
lime,fruit citrus,citrus ã— aurantiifolia,164,5,0.800,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":3662,""kaggle_recipe_count"":1439,""world_recipe_count"":5,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
broccoli,cabbage,brassica oleracea,130,5,0.795,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":468,""kaggle_recipe_count"":220,""world_recipe_count"":1,""usda_exact_name_matches"":18},""seed_version"":""v1""}"
capers,herb,capparis,99,4,0.793,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":5,""kaggle_recipe_count"":541,""world_recipe_count"":0,""usda_exact_name_matches"":64},""seed_version"":""v1""}"
provolone cheese,dairy,cattle,125,4,0.787,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":76,""kaggle_recipe_count"":164,""world_recipe_count"":0,""usda_exact_name_matches"":78},""seed_version"":""v1""}"
goat cheese,dairy,goat,117,4,0.784,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":1,""kaggle_recipe_count"":169,""world_recipe_count"":0,""usda_exact_name_matches"":158},""seed_version"":""v1""}"
nutmeg,spice,myristica,170,5,0.782,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":1639,""kaggle_recipe_count"":237,""world_recipe_count"":4,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
butternut squash,fruit,cucurbita,93,4,0.781,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":260,""kaggle_recipe_count"":174,""world_recipe_count"":0,""usda_exact_name_matches"":129},""seed_version"":""v1""}"
sugar,additive,,5,5,0.772,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":18060,""kaggle_recipe_count"":6434,""world_recipe_count"":24,""usda_exact_name_matches"":17},""seed_version"":""v1""}"
flour,cereal,,3,5,0.770,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":9399,""kaggle_recipe_count"":1348,""world_recipe_count"":13,""usda_exact_name_matches"":17},""seed_version"":""v1""}"
peanut butter,plant derivative,arachis,9,5,0.769,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":405,""kaggle_recipe_count"":122,""world_recipe_count"":1,""usda_exact_name_matches"":253},""seed_version"":""v1""}"
pecans,nut,hickory,148,4,0.768,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":2,""kaggle_recipe_count"":144,""world_recipe_count"":0,""usda_exact_name_matches"":64},""seed_version"":""v1""}"
cucumber,gourd,cucumis,134,5,0.760,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":1203,""kaggle_recipe_count"":768,""world_recipe_count"":2,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
eggplant,vegetable,solanum,132,5,0.756,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":641,""kaggle_recipe_count"":501,""world_recipe_count"":2,""usda_exact_name_matches"":6},""seed_version"":""v1""}"
peanut oil,plant derivative,arachis,20,4,0.755,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":572,""kaggle_recipe_count"":610,""world_recipe_count"":0,""usda_exact_name_matches"":153},""seed_version"":""v1""}"
avocado,fruit,persea,134,5,0.753,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":897,""kaggle_recipe_count"":1228,""world_recipe_count"":1,""usda_exact_name_matches"":2},""seed_version"":""v1""}"
coffee,beverage caffeinated,coffea,269,5,0.752,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":519,""kaggle_recipe_count"":69,""world_recipe_count"":1,""usda_exact_name_matches"":31},""seed_version"":""v1""}"
ricotta cheese,dairy,cattle,42,4,0.752,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":141,""kaggle_recipe_count"":352,""world_recipe_count"":0,""usda_exact_name_matches"":146},""seed_version"":""v1""}"
ketchup,additive,,5,4,0.751,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":736,""kaggle_recipe_count"":432,""world_recipe_count"":0,""usda_exact_name_matches"":398},""seed_version"":""v1""}"
cabbage,cabbage,brassicaceae,173,5,0.750,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":1007,""kaggle_recipe_count"":416,""world_recipe_count"":3,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
ham,meat,domestic pig,6,4,0.750,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":701,""kaggle_recipe_count"":222,""world_recipe_count"":0,""usda_exact_name_matches"":212},""seed_version"":""v1""}"
kale,cabbage,brassica oleracea,95,4,0.750,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":178,""kaggle_recipe_count"":157,""world_recipe_count"":0,""usda_exact_name_matches"":46},""seed_version"":""v1""}"
lettuce,vegetable,lettuce,140,5,0.746,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":1176,""kaggle_recipe_count"":183,""world_recipe_count"":4,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
gruyere cheese,dairy,cattle,146,5,0.743,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":49,""kaggle_recipe_count"":99,""world_recipe_count"":3,""usda_exact_name_matches"":29},""seed_version"":""v1""}"
cottage cheese,dairy,cattle,117,4,0.741,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":173,""kaggle_recipe_count"":100,""world_recipe_count"":0,""usda_exact_name_matches"":465},""seed_version"":""v1""}"
margarine,additive,vegetable oil,4,4,0.741,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":544,""kaggle_recipe_count"":220,""world_recipe_count"":0,""usda_exact_name_matches"":78},""seed_version"":""v1""}"
saffron,spice,crocus sativus,127,5,0.741,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":736,""kaggle_recipe_count"":206,""world_recipe_count"":6,""usda_exact_name_matches"":1},""seed_version"":""v1""}"
okra,vegetable,abelmosch,121,5,0.740,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":247,""kaggle_recipe_count"":268,""world_recipe_count"":4,""usda_exact_name_matches"":7},""seed_version"":""v1""}"
basmati rice,cereal,oryza,30,4,0.735,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":2,""kaggle_recipe_count"":326,""world_recipe_count"":0,""usda_exact_name_matches"":154},""seed_version"":""v1""}"
quinoa,cereal,chenopodium,94,4,0.730,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":91,""kaggle_recipe_count"":116,""world_recipe_count"":0,""usda_exact_name_matches"":111},""seed_version"":""v1""}"
tofu,plant derivative,glycine,9,5,0.729,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":263,""kaggle_recipe_count"":136,""world_recipe_count"":2,""usda_exact_name_matches"":39},""seed_version"":""v1""}"
apple cider vinegar,plant derivative,apple,16,4,0.723,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":1,""kaggle_recipe_count"":268,""world_recipe_count"":0,""usda_exact_name_matches"":257},""seed_version"":""v1""}"
baking powder,unknown,,,3,0.720,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":2258,""kaggle_recipe_count"":1738,""world_recipe_count"":2,""usda_exact_name_matches"":112},""seed_version"":""v1""}"
